Hora;Precios_Mercado(euro/MW);Precio_CO2(euro/Tn);Demanda(GWh);Temperatura_max(.C);Temperatura_min(.C);Precipitacion(l/m2);Velocidad_media(km/h);Irradiancia (W/m2)
11;43.68;24.76;49.87;18.8;5.3;0;7.92;383.01
12;42.72;24.76;49.87;18.8;5.3;0;7.92;479.01
13;41.37;24.76;49.87;18.8;5.3;0;7.92;511.01
14;39.98;24.76;33.25;18.8;5.3;0;7.92;496.02
15;39.02;24.76;33.25;18.8;5.3;0;7.92;405.01
16;39.11;24.76;33.25;18.8;5.3;0;7.92;275.01
17;41.37;24.76;49.87;18.8;5.3;0;7.92;103.01
18;43.98;24.76;49.87;18.8;5.3;0;7.92;0
19;47.11;24.76;49.87;18.8;5.3;0;7.92;0
20;49.73;24.76;33.25;18.8;5.3;0;7.92;0
21;51.75;24.76;33.25;18.8;5.3;0;7.92;0
22;50.3;24.76;33.25;18.8;5.3;0;7.92;0
23;46.16;24.76;33.25;18.8;5.3;0;7.92;0
0;44.01;25.33;16.32;19;7.8;0;16.92;0
1;45.00;25.33;16.32;19;7.8;0;16.92;0
2;42.14;25.33;16.32;19;7.8;0;16.92;0
3;37.81;25.33;16.32;19;7.8;0;16.92;0
4;37.2;25.33;16.32;19;7.8;0;16.92;0
5;33.00;25.33;16.32;19;7.8;0;16.92;0
6;32.05;25.33;16.32;19;7.8;0;16.92;0
7;33.63;25.33;16.32;19;7.8;0;16.92;0
8;37.2;25.33;32.64;19;7.8;0;16.92;0
9;37.74;25.33;32.64;19;7.8;0;16.92;90
10;38.92;25.33;48.96;19;7.8;0;16.92;204
11;40.00;25.33;48.96;19;7.8;0;16.92;359.01
12;39.3;25.33;48.96;19;7.8;0;16.92;475.01
13;39.59;25.33;48.96;19;7.8;0;16.92;501.01
14;37.86;25.33;32.64;19;7.8;0;16.92;502.02
15;35.69;25.33;32.64;19;7.8;0;16.92;400.01
16;35.69;25.33;32.64;19;7.8;0;16.92;271.01
17;37.41;25.33;48.96;19;7.8;0;16.92;83
18;41.3;25.33;48.96;19;7.8;0;16.92;0
19;43.04;25.33;48.96;19;7.8;0;16.92;0
20;41.91;25.33;32.64;19;7.8;0;16.92;0
21;39.81;25.33;32.64;19;7.8;0;16.92;0
22;39.19;25.33;32.64;19;7.8;0;16.92;0
23;37.92;25.33;32.64;19;7.8;0;16.92;0
0;35.69;25.33;14.69;19;7.9;0;14.04;0
1;33.33;25.33;14.69;19;7.9;0;14.04;0
2;30.98;25.33;14.69;19;7.9;0;14.04;0
3;29.9;25.33;14.69;19;7.9;0;14.04;0
4;28.79;25.33;14.69;19;7.9;0;14.04;0
5;27.71;25.33;14.69;19;7.9;0;14.04;0
6;27.26;25.33;14.69;19;7.9;0;14.04;0
7;26.5;25.33;14.69;19;7.9;0;14.04;0
8;25.8;25.33;29.38;19;7.9;0;14.04;0
9;26.8;25.33;29.38;19;7.9;0;14.04;80
10;28.51;25.33;44.07;19;7.9;0;14.04;249.01
11;29.5;25.33;44.07;19;7.9;0;14.04;382.01
12;29.4;25.33;44.07;19;7.9;0;14.04;476.01
13;28.8;25.33;44.07;19;7.9;0;14.04;513.01
14;29.4;25.33;29.38;19;7.9;0;14.04;432.01
15;28.51;25.33;29.38;19;7.9;0;14.04;67
16;28.3;25.33;29.38;19;7.9;0;14.04;167
17;28.00;25.33;44.07;19;7.9;0;14.04;12
18;28.28;25.33;44.07;19;7.9;0;14.04;0
19;29.9;25.33;44.07;19;7.9;0;14.04;0
20;35.00;25.33;29.38;19;7.9;0;14.04;0
21;37.43;25.33;29.38;19;7.9;0;14.04;0
22;36.74;25.33;29.38;19;7.9;0;14.04;0
23;30.5;25.33;29.38;19;7.9;0;14.04;0
0;29.01;25.33;13.87;14.3;6.6;21.2;23.04;0
1;28.51;25.33;13.87;14.3;6.6;21.2;23.04;0
2;25.5;25.33;13.87;14.3;6.6;21.2;23.04;0
3;18.00;25.33;13.87;14.3;6.6;21.2;23.04;0
